trial,objective,gap,elapsed,m_test_sharpe,m_train_sharpe,p_reject_pctile
138,1.5729,-0.126,0.9,1.698738,1.572907,0.529574
139,1.4847,-0.041,0.9,1.525528,1.484749,0.569493
140,1.5377,-0.368,0.9,1.905486,1.537714,0.482603
141,1.5858,-0.121,0.9,1.706613,1.585775,0.503881
142,1.5795,-0.298,0.9,1.87731,1.579481,0.491016
143,1.5659,-0.153,0.9,1.718622,1.565872,0.523109
144,1.5270,-0.068,0.9,1.595221,1.526961,0.543523
145,1.4378,-0.511,0.9,1.948317,1.437762,0.469499
146,1.5584,-0.142,0.9,1.699956,1.558357,0.506563
147,1.4336,-0.513,0.9,1.946721,1.43357,0.455692
148,1.5377,-0.368,0.9,1.905486,1.537714,0.482319
149,1.5659,-0.152,0.9,1.717519,1.565872,0.51615
